Railroad Code,Railroad Name,Report Year,Incident Number,Incident Year,Incident Month,Other Railroad Code,Other Railroad Name,Other Incident Number,Other Incident Year,Other Incident Month,Maintenance Incident Railroad Code,Maintenance Railroad Name,Maintainance Incident Number,Maintenance Incident Year,Maintenance Incident Month,Grade Crossing ID,Date,Time,Month,Day,Hour,Minute,AM/PM,Nearest Station,Division,Subdivision,County Code,County Name,State Code,State Name,City Name,Highway Name,Public/Private Code,Public/Private,Highway User Code,Highway User,Estimated Vehicle Speed,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Equipment Involved Code,Equipment Involved,Railroad Car Unit Position,Equipment Struck Code,Equipment Struck,Hazmat Involvement Code,Hazmat Involvement,Hazmat Released by Code,Hazmat Released by,Hazmat Released Name,Hazmat Released Quantity,Hazmat Released Measure,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Equipment Type Code,Equipment Type,Track Type Code,Track Type,Track Name,Track Class,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction Code,Train Direction,Crossing Warning Expanded Code 1,Crossing Warning Expanded Code 2,Crossing Warning Expanded Code 3,Crossing Warning Expanded Code 4,Crossing Warning Expanded Code 5,Crossing Warning Expanded Code 6,Crossing Warning Expanded Code 7,Crossing Warning Expanded Code 8,Crossing Warning Expanded Code 9,Crossing Warning Expanded Code 10,Crossing Warning Expanded Code 11,Crossing Warning Expanded Code 12,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Crossing Warning Explanation Code,Crossing Warning Explanation,Roadway Condition Code,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action Code,Highway User Action,Driver Passed Vehicle,View Obstruction Code,View Obstruction,Driver Condition Code,Driver Condition,Driver In Vehicle,Crossing Users Killed For Reporting Railroad,Crossing Users Injured For Reporting Railroad,Vehicle Damage Cost,Number Vehicle Occupants,Employees Killed For Reporting Railroad,Employees Injured For Reporting Railroad,Number People On Train,Form 54 Filed,Passengers Killed For Reporting Railroad,Passengers Injured For Reporting Railroad,Video Taken,Video Used,Special Study 1,Special Study 2,Narrative,Total Killed Form 57,Total Injured Form 57,Railroad Type,Joint Code,Total Killed Form 55A,Total Injured Form 55A,District,Whistle Ban Code,Whistle Ban,Report Key
ARR,Alaska Railroad Corporation,2015,2015206,15,09,,,,,,ARR,Alaska Railroad Corporation,2015206,15,09,868249T,09/12/2015,8:00 AM,09,12,08,00,AM,ANCHORAGE TERMINAL,,SYSTEM,020,ANCHORAGE,02,ALASKA,ANCHORAGE,POTTER GUN CLUB,Y,Public,C,Truck-trailer,2,4,West,5,Blocked on crossing by gates,1,Train (units pulling),4,2,Rail equipment struck by highway user,4,Neither,4,Neither,,,,42,2,Day,2,Cloudy,2,Passenger Train - Pulling,1,Main,MAIN,3,2,8,2,E,2,South,1,6,,,,,,,,,,7,Gates,Audible,,,,,,,,,,Crossbucks,1,Provided minimum 20-second warning,,,A,Dry,2,Side of vehicle approach,No,No,,Male,No,2,Stopped and then proceeded,Yes,8,Not obstructed,3,Uninjured,Yes,0,0,31489,1,0,0,239,Yes,0,0,No,No,,,9/12/15 CONDUCTOR CALLED TO REPORT A COMMERCIAL VEHICLE HIT CROSSING ARMS AT MP 102.8. THE DRIVER WAS IN A COMMERCIAL DUMP TRUCK PULLING LG TRAILER WITH A DOZER. HE SAID HE WAS AT A COMPLETE STOP AT THE GATE WHILE IT WAS GETTING UNLOCKED BY A RANGE OFFICIAL.  THE DRIVER STARTED TO PULL THROUGH.  DRIVER INFO IS NOT AVAILABLE.,0,0,2,1,0,0,8,,,ARR2015206201509
ARR,Alaska Railroad Corporation,2017,2017111,17,06,,,,,,ARR,Alaska Railroad Corporation,2017111,17,06,910325W,06/07/2017,4:51 PM,06,07,04,51,PM,ANCHORAGE,,CENTRAL,020,ANCHORAGE,02,ALASKA,ANCHORAGE,MP 114.30,Y,Public,A,Auto,10,3,East,3,Moving over crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,56,2,Day,2,Cloudy,7,Yard/switching,4,Industry,NORTHLAND INDUSTRY,X,1,22,6,E,2,South,,,,,,,,,,,,11,,,,,,,,,,,,Other,,,,,A,Dry,1,Both sides,No,No,34,Female,Yes,3,Did not stop,No,8,Not obstructed,3,Uninjured,Yes,0,0,0,3,0,0,2,No,0,0,No,No,,,"A YARD CREW WAS SHOVING INTO A SPOT @ NORTHLAND.  WHILE MAKING THE MOVE, A VEHICLE PASSED THE YIELD3 TRACKS SIGN & ATTEMPTED ENTER THE NORTHLAND YARD. A RAILROAD VEHICLE WAS POSITIONED TO BLOCK THE XING ON THE FAR SIDE. DRIVER ATTEMPTED TO CROSS THE TRACK AND GO AROUND THE RAILROAD VEHICLE THAT WASATTEMPTING TO BLOCK THE XING. THE CNDUTR GAVE THE COMMAND TO PLUG THE CUT AT THE XING (RR S-SIDE) &IMPACTED THE VEHICLE @ FAR SIDE.",0,0,2,1,0,0,8,,,ARR2017111201706
NS,Norfolk Southern Railway Company,2020,138553,20,07,,,,,,NS,Norfolk Southern Railway Company,138553,20,07,726927H,07/15/2020,7:30 PM,07,15,07,30,PM,PARRISH,,ALABAMA,127,WALKER,01,ALABAMA,PARRISH,NA/STANDFIELD ROAD,Y,Public,A,Auto,6,4,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,87,3,Dusk,1,Clear,1,Freight Train,1,Main,SINGLE MAIN TRACK,2,3,109,21,E,1,North,,,,,,,,,,,,7,,,,,,,,,,,,Crossbucks,,,,,A,Dry,1,Both sides,No,No,65,Male,No,3,Did not stop,No,8,Not obstructed,1,Killed,Yes,1,0,1000,1,0,0,2,No,0,0,No,No,,,"NS TRAIN 329A216 TRAVELING NORTHBOUND STRUCK A CAR. HWY-USER FAILED TO YIELD AT THE CROSSING, EQUIPPED WITH CROSS BUCKS.",1,0,1,1,1,0,3,,,NS138553202007
BNSF,BNSF Railway Company,2020,SW0820201,20,08,,,,,,BNSF,BNSF Railway Company,SW0820201,20,08,025422P,08/05/2020,7:42 PM,08,05,07,42,PM,ALHAMBRA,,PHOENIX,013,MARICOPA,04,ARIZONA,GLENDALE,43RD CAMELBACK,Y,Public,A,Auto,0,3,East,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,110,3,Dusk,1,Clear,1,Freight Train,1,Main,SINGLE MAIN TRACK,2,2,15,18,E,3,East,1,2,3,6,,,,,,,,7,Gates,Cantilever FLS,Standard FLS,Audible,,,,,,,,Crossbucks,1,Provided minimum 20-second warning,,,A,Dry,1,Both sides,No,Yes,,Male,No,5,Other,No,8,Not obstructed,3,Uninjured,Yes,0,0,2000,1,0,0,3,No,0,0,No,No,,,"RSWE003505 ON SINGLE MAIN TRACK STRUCK A VEHICLE AT MP 186.77 CROSSING. NO TRAIN CREW INJURIES, NO INJURIES TO VEHICLE OCCUPANTS. USER'S AGE UNKNOWN",0,0,1,1,0,0,7,,,BNSFSW0820201202008
BNSF,BNSF Railway Company,2020,SW0820203,20,08,,,,,,BNSF,BNSF Railway Company,SW0820203,20,08,025133N,08/11/2020,1:50 AM,08,11,01,50,AM,MCPHETRIDGE,,SELIGMAN,005,COCONINO,04,ARIZONA,FLAGSTAFF,BEAVER ST,Y,Public,K,Pedestrian,0,2,South,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,54,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN 2 TRACK,5,2,71,39,R,4,West,1,2,3,6,,,,,,,,7,Gates,Cantilever FLS,Standard FLS,Audible,,,,,,,,Crossbucks,1,Provided minimum 20-second warning,,,A,Dry,2,Side of vehicle approach,Yes,Yes,33,Male,No,1,Went around the gate,,8,Not obstructed,,,,1,0,0,0,0,0,2,No,0,0,Yes,Yes,,,TRAIN TRAVELING WEST BOUND ON MAIN 2 STRUCK A PERSON THAT HAD STEPPED IN FRONT OF THE TRAIN AT A CROSSING.,1,0,1,1,1,0,7,,,BNSFSW0820203202008
BNSF,BNSF Railway Company,2008,CA0408200,08,04,,,,,,BNSF,BNSF Railway Company,CA0408200,08,04,027658N,04/07/2008,4:45 PM,04,07,04,45,PM,CERRITOS,CALIFORNIA,,037,LOS ANGELES,06,CALIFORNIA,LA MIRADA,ALONDRA BLVD,Y,Public,B,Truck,35,3,East,3,Moving over crossing,2,Train (units pushing),4,2,Rail equipment struck by highway user,2,Rail equipment,4,Neither,,,,73,2,Day,1,Clear,1,Freight Train,2,Yard,6350,1,2,2,4,E,2,South,3,,,,,,,,,,,6,Standard FLS,,,,,,,,,,,Audible,1,Provided minimum 20-second warning,,,,,1,Both sides,No,No,41,Male,No,3,Did not stop,No,8,Not obstructed,2,Injured,Yes,0,1,5000,1,0,0,3,No,0,0,,,,,,0,1,1L,1,0,1,7,2,No,BNSFCA0408200200804
BNSF,BNSF Railway Company,2020,SW0820204,20,08,,,,,,BNSF,BNSF Railway Company,SW0820204,20,08,025491X,08/23/2020,7:23 PM,08,23,07,23,PM,PHOENIX,,PHOENIX,013,MARICOPA,04,ARIZONA,PHOENIX,43RD AVE,Y,Public,A,Auto,30,2,South,3,Moving over crossing,6,Light loco(s) (moving),1,2,Rail equipment struck by highway user,4,Neither,4,Neither,,,,99,3,Dusk,1,Clear,7,Yard/switching,2,Yard,1306,1,1,2,7,R,4,West,2,3,6,,,,,,,,,7,Cantilever FLS,Standard FLS,Audible,,,,,,,,,Crossbucks,1,Provided minimum 20-second warning,,,A,Dry,1,Both sides,No,Yes,,Male,No,3,Did not stop,No,8,Not obstructed,3,Uninjured,Yes,0,0,1000,1,0,0,3,No,0,0,No,No,,,HIGHWAY USER HEADING SOUTH ON 43RD AVE RAN FLASHING CROSSING LIGHT STRIKING THE BNSF 2663 KNUCKLE. USER'S AGE UNKNOWN,0,0,1,1,0,0,7,,,BNSFSW0820204202008
BNSF,BNSF Railway Company,2010,SW0310200,10,03,,,,,,BNSF,BNSF Railway Company,SW0310200,10,03,025017A,03/09/2010,2:00 AM,03,09,02,00,AM,HOLBROOK,SOUTHWEST,,017,NAVAJO,04,ARIZONA,HOLBROOK,NAVAJO BLVD,Y,Public,K,Pedestrian,,,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,30,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN 2 TRK,5,4,82,68,E,4,West,1,,,,,,,,,,,2,Gates,,,,,,,,,,,Cantilever FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,Yes,Yes,44,Female,,,,,8,Not obstructed,1,Killed,,1,0,0,1,0,0,2,No,0,0,,,,,15: PEDESTRIAN DIRECTION UNKNOWN,1,0,1,1,1,0,7,2,No,BNSFSW0310200201003
BNSF,BNSF Railway Company,2010,SW0310201,10,03,,,,,,BNSF,BNSF Railway Company,SW0310201,10,03,025422P,03/16/2010,1:40 PM,03,16,01,40,PM,ALHAMBRA,SOUTHWEST,,013,MARICOPA,04,ARIZONA,GLENDALE,43RD & CAMELBACK RD,Y,Public,B,Truck,4,3,East,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,77,2,Day,1,Clear,1,Freight Train,1,Main,SINGLE MAIN,1,3,46,19,E,4,West,2,,,,,,,,,,,7,Cantilever FLS,,,,,,,,,,,Crossbucks,1,Provided minimum 20-second warning,,,,,1,Both sides,Yes,Yes,31,Male,No,2,Stopped and then proceeded,Unknown,8,Not obstructed,3,Uninjured,Yes,0,0,1000,1,0,0,3,No,0,0,,,,,,0,0,1,1,0,0,7,2,No,BNSFSW0310201201003
UP,Union Pacific Railroad Company,2010,0310TS003,10,03,,,,,,UP,Union Pacific Railroad Company,0310TS003,10,03,742117G,03/04/2010,7:00 AM,03,04,07,00,AM,ALDONA,TUCSON SU,,019,PIMA,04,ARIZONA,TUCSON,PRIVATE CROSSING,N,Private,A,Auto,10,4,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,65,2,Day,1,Clear,1,Freight Train,1,Main,SINGLE MAIN,4,3,6,39,R,2,South,,,,,,,,,,,,8,,,,,,,,,,,,Stop signs,,,,,,,1,Both sides,,No,48,Female,No,3,Did not stop,No,8,Not obstructed,2,Injured,Yes,0,1,4000,1,0,0,3,No,0,0,,,,,,0,1,1,1,0,1,7,2,No,UP0310TS003201003
ARR,Alaska Railroad Corporation,2017,2017149,17,07,,,,,,ARR,Alaska Railroad Corporation,2017149,17,07,868259Y,07/20/2017,1:53 AM,07,20,01,53,AM,07,,ANCHORAGE,020,ANCHORAGE,02,ALASKA,ANCHORAGE,SYSTEM,Y,Public,A,Auto,0,1,North,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,0,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN LINE,3,2,85,37,R,1,North,5,,,,,,,,,,,6,Hwy. traffic signals,,,,,,,,,,,Audible,1,Provided minimum 20-second warning,,,A,Dry,1,Both sides,Unknown,Yes,17,Female,Unknown,4,Stopped on crossing,No,3,Passing train,3,Uninjured,No,0,0,1000,1,0,0,2,No,0,0,No,No,,,"THE N/B WHITTIER FREIGHT TRAIN WAS TRAVELING ABOUT 37 MPH WHEN LOCOMOTIVE #4012 STRUCK THE DRIVER'SSIDE OF A CHEV-BLAZER.  THE BLAZER WAS STUCK ON THE MAIN TRACK AT THE ARCTIC BLVD. CROSSING (MP 1 09.4).  PRIOR TO THE CROSSING BEING ACTIVE, THE DRIVER OF THE BLAZER WAS SOUTHBOUND ON ARCTIC BLVD. AND WAS HAVING ISSUES WITH THEIR WINDSHIELD WIPERS.  THEY PULLED OVER ON THE CONCRETE PAD DIRECTLY ONTHE MAIN TRACK OCCUPYING THE CROSSING.  THE FRONT WHEELS OF THEIR VEHICLE CAME OFF AND BECAME STUCK.",0,0,2,1,0,0,8,,,ARR2017149201707
ARR,Alaska Railroad Corporation,2018,2018017,18,01,,,,,,ARR,Alaska Railroad Corporation,2018017,18,01,868428J,01/18/2018,2:30 AM,01,18,02,30,AM,FAIRBANKS TERMINAL,,SYSTEM,090,FAIRBANKS NORTH STAR,02,ALASKA,FAIRBANKS,RICHARDSON HWY,Y,Public,A,Auto,5,4,West,3,Moving over crossing,1,Train (units pulling),12,2,Rail equipment struck by highway user,,,,,,,,24,4,Dark,2,Cloudy,7,Yard/switching,2,Yard,FAIRBANKS AIRPORT BR,1,1,18,10,E,2,South,,,,,,,,,,,,5,,,,,,,,,,,,Hwy. traffic signals,1,Provided minimum 20-second warning,,,C,Snow/slush,1,Both sides,Yes,Yes,,Male,No,3,Did not stop,Unknown,3,Passing train,3,Uninjured,Yes,0,0,1032,1,0,0,3,No,0,0,No,No,,,"CITIZEN NOT PAYING ATTENTION AND DROVE INTO CUT OF FLAT CARS. CROSSING LIGHTS AND GATES WERE WORKING.
FAIRBANKS POLICE DEPARTMENT REPORTED TO THE FAIRBANKS TERMINAL SUPERVISOR THAT A VEHICLE STRUCK A(FLAT) CAR AT THE RICHARDSON HIGHWAY CROSSING AT APPROXIMATELY 0230 HOURS. THE YARD CREW WAS EN ROUTE TO THE STRYKER RAMPS AT FORT WAINWRIGHT. THE CUT OF CARS WERE ALL 18 FLATS TOTALING APPROXIMATELY1710 FEET.  DRIVERS AGE AND OTHER DETAILED INFORMATION IS UNKNOWN.",0,0,2,1,0,0,8,,,ARR2018017201801
